Id;Name;timeset;Degree;weighted degree;Eccentricity;Closeness;harmonicclosnesscentrality;Betweenness;Modularity Class;Pageranks;componentnumber;clustering;Triangles;Eigen;Country;Political Party
2143;Gustavo Mendanha;;33;33;8;0.293137;0.316415;0.022743;10;0.000501;0;0.066288;35;0.029213;;
192;Betinho Gomes;;66;66;9;0.285832;0.312843;0.022101;10;0.000966;0;0.121678;261;0.057192;;
2306;Joachim B. Olsen;;53;53;9;0.288259;0.308361;0.021915;12;0.000777;0;0.143687;198;0.035467;Denmark;Liberal Alliance
3387;Mariano Rajoy Brey;;67;67;9;0.312474;0.343284;0.021746;5;0.001006;0;0.071461;158;0.094248;Spain;People's Party
442;Guy Verhofstadt;;38;38;9;0.295927;0.317549;0.020043;15;0.00064;0;0.076814;54;0.036841;;
4032;Niels Annen;;181;181;9;0.31741;0.35691;0.020015;14;0.001579;0;0.155249;2529;0.85279;Germany;Social Democratic Party of Germany
2698;Mauricio Macri;;102;102;9;0.26272;0.287721;0.019654;8;0.001475;0;0.11027;568;0.055572;;
2059;Michael Roth;;121;121;8;0.320458;0.356002;0.019035;14;0.001105;0;0.177548;1289;0.603269;Germany;Social Democratic Party of Germany
5882;Peter Tauber;;114;114;9;0.302613;0.33742;0.018908;16;0.001283;0;0.135693;874;0.233536;Germany;Christian Democratic Union
112;Dilma Rousseff;;141;141;10;0.266718;0.29921;0.018887;10;0.002047;0;0.07386;729;0.092948;Brazil;The Workers' Party
1374;Lula;;124;124;9;0.272425;0.301394;0.018336;10;0.001779;0;0.093365;712;0.083892;Germany;Social Democratic Party of Germany
4602;Katja Mast;;220;220;9;0.296046;0.338607;0.01832;14;0.001847;0;0.14699;3541;1;Germany;Social Democratic Party of Germany
155;John Key;;49;49;10;0.275848;0.301673;0.017219;25;0.000532;0;0.27551;324;0.04724;New Zealand;National Party
3099;Terri Butler MP;;145;145;9;0.29532;0.326999;0.016618;0;0.001076;0;0.194732;2033;0.408989;Australia;
5072;Dietmar Nietan;;137;137;9;0.303889;0.336065;0.01626;14;0.001192;0;0.242271;2257;0.74624;Germany;Social Democratic Party of Germany
2218;Arlindo Chinaglia;;116;116;10;0.257487;0.286473;0.015704;10;0.001724;0;0.061919;413;0.068565;;
5066;Elisabeth Morin-Chartier;;94;94;10;0.295809;0.327192;0.015246;5;0.001316;0;0.077785;340;0.105125;;
5379;Margot James;;20;20;9;0.235076;0.250641;0.014806;22;0.000461;0;0.231579;44;0.011088;UK;Conservative
1003;Matteo Renzi;;62;62;9;0.282119;0.310023;0.01466;7;0.000876;0;0.069276;131;0.072452;;
4585;Tanja Fajon;;45;45;8;0.307528;0.331641;0.014659;5;0.000638;0;0.091919;91;0.073723;Slovenia;Social Democrats
2932;Peter Kyle MP;;17;17;8;0.27904;0.294822;0.014282;17;0.000339;0;0.095588;13;0.012754;;
4622;Achim Post;;129;129;9;0.305145;0.33642;0.013681;14;0.001146;0;0.245761;2029;0.705144;Germany;Social Democratic Party of Germany
4068;Tom Tugendhat;;21;21;10;0.240063;0.258729;0.012236;14;0.000229;0;0.185714;39;0.030179;;
3094;Kelly O'Dwyer;;96;96;9;0.285707;0.316594;0.0122;1;0.000739;0;0.155702;710;0.373754;Australia;Liberal Party
3074;Shinjiro Koizumi;;34;34;9;0.287068;0.309704;0.011964;6;0.000501;0;0.065954;37;0.033959;;
5855;Anthony Albanese MP;;146;146;9;0.282577;0.313681;0.011402;0;0.001045;0;0.204251;2162;0.387525;;
1952;Volker Wissing;;63;63;10;0.256592;0.280995;0.011393;15;0.000968;0;0.105479;206;0.036872;Germany;FDP
2654;Søren Espersen;;26;26;9;0.289971;0.309667;0.011287;12;0.000384;0;0.123077;40;0.02739;Denmark;The Danish People's Party
18;François Hollande;;48;48;9;0.283418;0.308968;0.011054;5;0.000727;0;0.072695;82;0.059681;;
519;Tony Abbott;;92;92;9;0.293282;0.320439;0.011008;1;0.000726;0;0.225036;942;0.156671;Australia;Liberal Party
3048;Ted Cruz;;41;41;8;0.244911;0.260966;0.010675;23;0.00092;0;0.103659;85;0.0144;USA;Republican
1190;Benjamin Netanyahu - בנימין נתניהו;;23;23;8;0.241329;0.256315;0.010637;4;0.000482;0;0.035573;9;0.007364;;
4219;李俊俋;;53;53;9;0.273967;0.294655;0.010538;19;0.000565;0;0.33164;457;0.048402;;
4667;Carlo Sibilia;;57;57;9;0.270121;0.290031;0.010313;7;0.000499;0;0.461153;736;0.066369;;
2693;Michelle Thomson;;23;23;9;0.272024;0.293156;0.010279;5;0.000316;0;0.130435;33;0.023526;UK;Scottish National Party
5142;Miguel Barbosa Huerta;;37;37;9;0.281433;0.30214;0.009985;6;0.000582;0;0.085586;57;0.025326;;
3379;Afzal Khan MP;;26;26;8;0.234852;0.246762;0.009965;17;0.000551;0;0.055385;18;0.006658;;
5416;Katarina Barley;;229;229;9;0.287389;0.325709;0.009765;14;0.001899;0;0.140849;3677;0.981351;Germany;Social Democratic Party of Germany
1323;Therese Comodini Cachia;;46;46;9;0.299802;0.325909;0.009762;5;0.00063;0;0.127536;132;0.062773;;
3471;陳明義;;42;42;9;0.27105;0.290732;0.009725;19;0.000559;0;0.121951;105;0.027314;;
5644;Aécio Neves;;89;89;9;0.253356;0.278155;0.00938;10;0.001373;0;0.0881;345;0.048558;;
98;Bill Shorten MP;;145;145;10;0.273472;0.306761;0.009338;0;0.000993;0;0.236782;2472;0.423476;Australia;Australian Labor Party
775;Eva Maydell (Paunova);;17;17;10;0.28228;0.306914;0.009068;5;0.00023;0;0.220588;30;0.043657;;
3841;Norbert Kartmann;;41;41;9;0.277051;0.297828;0.008997;8;0.000569;0;0.185366;152;0.033318;;
684;U.S. Senator Bernie Sanders;;19;19;9;0.275577;0.296958;0.008538;20;0.000345;0;0;0;0.027406;;
5102;Peter Tomaschko, MdL;;28;28;10;0.260083;0.28464;0.008512;6;0.000392;0;0.134921;51;0.036241;;
705;Margaret Greenwood MP;;12;12;7;0.271349;0.287406;0.008368;23;0.000263;0;0.151515;10;0.010802;;
5118;Jean-Claude Juncker;;61;61;9;0.287487;0.316965;0.008305;5;0.00079;0;0.111475;204;0.098611;;
2371;Ed Miliband;;28;28;8;0.255427;0.27312;0.008081;17;0.000485;0;0.087302;33;0.021206;UK;Labour
1595;Arno Klare MdB;;222;222;9;0.28138;0.319127;0.00806;14;0.001838;0;0.145775;3576;0.952303;Germany;Social Democratic Party of Germany
77;Peter Kraus;;32;32;9;0.286929;0.307841;0.007996;11;0.000456;0;0.114919;57;0.033235;;
648;Patricia Bullrich;;43;43;9;0.27269;0.292705;0.007773;8;0.0006;0;0.20155;182;0.033385;;
5699;Nick Clegg;;18;18;10;0.190622;0.199902;0.007768;24;0.000669;0;0.124183;19;0.003972;UK;Liberal Democrat
3484;Alexandre Boulerice NPD Rosemont - La Petite-Patrie;;29;29;9;0.270566;0.288482;0.007719;26;0.000379;0;0.342365;139;0.019088;;
5412;Marco Rubio;;32;32;8;0.236195;0.25155;0.007637;23;0.000779;0;0.048387;24;0.010041;USA;Republican
2105;Jan Philipp Albrecht;;41;41;9;0.286539;0.308011;0.007576;11;0.000479;0;0.264634;217;0.065778;;
5085;Michel Temer;;59;59;9;0.256458;0.27989;0.007412;10;0.000885;0;0.070134;120;0.035553;;
5120;Theresa May;;24;24;10;0.228228;0.244526;0.007253;22;0.000548;0;0.094203;26;0.009465;UK;Conservative
5906;Manuel Velasco Coello;;24;24;10;0.262942;0.283488;0.00724;6;0.000341;0;0.141304;39;0.027606;;
5294;Brian Fincheltub;;24;24;8;0.276908;0.295274;0.007112;8;0.000382;0;0.173913;48;0.019859;;
3595;Deputado Federal Sérgio Moraes;;99;99;9;0.264829;0.289884;0.007078;21;0.000796;0;0.217481;1055;0.176116;;
630;María Eugenia Vidal;;75;75;9;0.249062;0.269966;0.007047;8;0.001018;0;0.183784;510;0.046045;;
1199;Paul Ryan;;34;34;9;0.232788;0.248608;0.00699;23;0.000801;0;0.078431;44;0.011768;;
3669;Eruviel Ávila;;36;36;10;0.252792;0.272364;0.006959;6;0.000538;0;0.147619;93;0.020809;;
873;Kellie Leitch;;99;99;9;0.259181;0.283802;0.006895;21;0.000749;0;0.315605;1531;0.194612;Canada;Conservative
4466;Manoel Junior;;31;31;9;0.273586;0.29388;0.006752;10;0.00049;0;0.105376;49;0.022182;;
2736;Senator James Paterson;;80;80;10;0.261221;0.285077;0.006747;1;0.00065;0;0.269937;853;0.13382;;
3977;Jeremy Corbyn;;25;25;8;0.236233;0.252933;0.00668;17;0.000444;0;0.036667;11;0.010452;UK;Labour
3148;Enda Kenny;;26;26;10;0.280538;0.304109;0.00664;15;0.000393;0;0.181538;59;0.031256;;
869;Lloyd Kelso for President;;20;20;9;0.255958;0.272401;0.006606;23;0.000445;0;0.078947;15;0.009857;;
2851;Mitt Romney;;31;31;8;0.241852;0.256603;0.006589;23;0.000707;0;0.086022;40;0.010914;USA;Republican
2437;Eduardo Cunha;;57;57;9;0.249683;0.273397;0.006531;10;0.000866;0;0.068296;109;0.032121;;
4767;Bernd Rützel;;30;30;10;0.269001;0.293467;0.006516;14;0.000261;0;0.487356;212;0.236082;Germany;Social Democratic Party of Germany
749;Zeca Dirceu;;26;26;9;0.275848;0.296986;0.006506;10;0.000369;0;0.406154;132;0.034587;;
2408;Sebastian Kurz;;38;38;9;0.266561;0.288945;0.006145;16;0.000559;0;0.068279;48;0.035738;;
621;Sarah Palin;;34;34;10;0.236583;0.255292;0.006037;10;0.000605;0;0.14795;83;0.024845;;
5018;Zenia Stampe;;30;30;9;0.28902;0.309814;0.006022;12;0.000423;0;0.195402;85;0.030924;Denmark;The Social Liberal Party
1933;Erik Lauritzen;;30;30;9;0.278343;0.300525;0.006015;10;0.000436;0;0.108046;47;0.027505;;
2180;Kinga Gajewska;;46;46;10;0.253107;0.276046;0.00597;5;0.00068;0;0.194203;201;0.027524;Poland;Klub Parlamentarny Platforma Obywatelska
3263;Lars Castellucci;;67;67;9;0.276286;0.304829;0.00596;14;0.000503;0;0.256897;568;0.401437;Germany;Social Democratic Party of Germany
4974;Christian Lindner;;45;45;10;0.254272;0.277607;0.005944;15;0.000676;0;0.121212;120;0.052527;Germany;Free Democratic Party
5389;Chris Matheson - Chester MP;;7;7;9;0.190776;0.197642;0.005934;4;0.000166;0;0.380952;8;0.002404;;
683;Stefan Liebich;;50;50;10;0.27986;0.305744;0.005817;14;0.000552;0;0.156735;192;0.149198;Germany;Die Linke
1383;Pablo Zalba Bidegain;;9;9;10;0.261094;0.283578;0.005764;10;0.000148;0;0.027778;1;0.016108;;
453;Eva Nassif;;33;33;9;0.275539;0.295818;0.00575;18;0.000264;0;0.342803;181;0.074874;Canada;Liberal
764;Rajeev Chandrasekhar, MP;;6;6;9;0.272099;0.287802;0.005696;17;0.000131;0;0.266667;4;0.009633;;
4316;Cristina Fernandez de Kirchner;;29;29;10;0.240063;0.257602;0.005694;8;0.000533;0;0.076355;31;0.014634;;
175;Volker Ullrich;;118;118;10;0.269529;0.302374;0.00569;16;0.001317;0;0.116471;804;0.185467;;
598;Hermann Gröhe;;71;71;9;0.282889;0.314989;0.005639;16;0.000803;0;0.16338;406;0.17186;Germany;Christian Democratic Union
2314;Kirsty Duncan;;41;41;9;0.275423;0.295852;0.005604;18;0.000317;0;0.532927;437;0.103186;Canada;Liberal
3833;Geovania de Sá;;78;78;10;0.248162;0.27415;0.00549;10;0.001156;0;0.103896;312;0.050684;;
1140;עליזה לביא;;33;33;8;0.229675;0.242372;0.005461;4;0.00059;0;0.210227;111;0.010501;;
167;שלי יחימוביץ;;7;7;9;0.265937;0.281334;0.005437;4;0.000133;0;0.428571;9;0.008677;;
5325;Sophie Pécriaux;;24;24;10;0.275462;0.295968;0.005428;15;0.000364;0;0.086957;24;0.01992;;
4792;Aaron Farrugia;;23;23;9;0.295809;0.319073;0.005353;7;0.000343;0;0.063241;16;0.040731;;
4175;Adam Bandt;;41;41;10;0.271162;0.292503;0.005317;20;0.000381;0;0.330488;271;0.07571;Australia;Australian Greens
4140;Blairo Maggi;;30;30;9;0.276209;0.297896;0.00529;10;0.000445;0;0.142529;62;0.026196;;
5084;Lee Hsien Loong;;11;11;10;0.245797;0.262168;0.005255;2;0.000197;0;0.109091;6;0.008128;;
557;Alan Abela-Wadge;;10;10;9;0.258807;0.274806;0.005232;5;0.000172;0;0.333333;15;0.009113;;
3241;Schiffer András;;28;28;8;0.250244;0.267028;0.005108;20;0.000504;0;0.018519;7;0.010272;;
3850;Mevlüt Çavuşoğlu;;28;28;8;0.250244;0.267028;0.005108;20;0.000504;0;0.018519;7;0.010272;;
4382;費鴻泰（阿力克司）;;26;26;9;0.269541;0.287603;0.005077;19;0.000334;0;0.323077;105;0.021751;;
1144;Neil Gray MP;;42;42;9;0.223192;0.238643;0.005046;3;0.000672;0;0.226481;195;0.016001;;
5584;Maxime Bernier;;104;104;9;0.26216;0.28726;0.005029;21;0.000819;0;0.254294;1362;0.192377;Canada;People's
921;Tim Kaine;;10;10;9;0.273371;0.289599;0.005014;20;0.000218;0;0.155556;7;0.011817;USA;Democrat
541;Larry Maguire;;67;67;9;0.265031;0.288527;0.004995;1;0.000501;0;0.286296;633;0.170053;Canada;Conservative
74;Stefania Pezzopane;;34;34;9;0.280138;0.299759;0.004938;7;0.000478;0;0.163993;92;0.027933;;
2153;Anton Hofreiter;;71;71;9;0.264722;0.291848;0.004932;11;0.000754;0;0.198793;494;0.147436;Germany;Alliance '90/The Greens
1928;Juan Manuel Santos - Presidente;;18;18;9;0.263106;0.281107;0.004931;5;0.000323;0;0.039216;6;0.011543;;
2612;Julie Bishop MP;;86;86;10;0.271349;0.297413;0.004923;1;0.000668;0;0.271956;994;0.153514;;
1340;Andrew Scheer;;95;95;9;0.253803;0.279877;0.00485;21;0.000724;0;0.319149;1425;0.188829;Canada;Conservative
5768;Jim Murphy;;27;27;9;0.230778;0.242703;0.004827;23;0.000624;0;0.102564;36;0.007574;UK;Labour
4954;Chris Hipkins MP;;33;33;10;0.240132;0.25635;0.004807;20;0.000376;0;0.424242;224;0.019058;;
3029;Andrew Percy;;4;4;10;0.212896;0.230352;0.004805;22;0.000069;0;0.166667;1;0.007712;UK;Conservative
3014;Benny Engelbrecht;;44;44;9;0.282375;0.302625;0.004783;12;0.000592;0;0.263214;249;0.034842;Denmark;The Social Democratic Party
4023;Cem Özdemir;;52;52;9;0.265007;0.289188;0.004742;11;0.000563;0;0.249623;331;0.115159;Germany;Alliance '90/The Greens
1665;Deborah Bergamini;;24;24;9;0.284579;0.302466;0.004729;7;0.000369;0;0.141304;39;0.020613;;
4866;Pratibha Singh;;12;12;10;0.232587;0.244636;0.004687;17;0.000293;0;0.227273;15;0.004832;;
1680;Jane Philpott;;55;55;10;0.26272;0.286777;0.004686;18;0.000425;0;0.465993;692;0.128675;Canada;Liberal
4750;Jens Stoltenberg;;15;15;10;0.255074;0.27196;0.004664;12;0.000232;0;0.152381;16;0.024765;;
239;Laurent Fabius;;16;16;9;0.283704;0.302297;0.004654;5;0.000243;0;0.241667;29;0.018191;;
3518;Alina Gorghiu;;16;16;9;0.286539;0.30745;0.004625;5;0.000297;0;0.108333;13;0.024119;;
96;Kemal Kılıçdaroğlu;;17;17;10;0.237668;0.252574;0.004599;9;0.000359;0;0.132353;18;0.017416;;
5413;John Boehner;;19;19;8;0.234955;0.24797;0.004542;23;0.00045;0;0.087719;15;0.006969;;
2366;Deputado Hiran Gonçalves;;48;48;10;0.2459;0.268912;0.004538;10;0.000735;0;0.092199;104;0.030082;;
4829;Christel Schaldemose;;50;50;9;0.26667;0.287578;0.004534;12;0.000666;0;0.209796;257;0.042253;;
1356;Anne Lambelin;;38;38;10;0.248957;0.267083;0.004502;15;0.000576;0;0.156472;110;0.018189;;
3445;Carles Puigdemont i Casamajó;;15;15;10;0.2304;0.245617;0.004491;22;0.000323;0;0.009524;1;0.005848;;
5872;Justin Amash;;16;16;9;0.22455;0.239174;0.004481;23;0.000341;0;0.108333;13;0.015514;USA;Republican
5889;Federica Mogherini;;30;30;9;0.292716;0.315709;0.004453;5;0.000373;0;0.170115;74;0.081517;;
1230;Jean-François Lisée;;33;33;10;0.254656;0.273119;0.004453;2;0.000406;0;0.412879;218;0.018973;;
5016;Ian Borg;;24;24;9;0.294643;0.318291;0.004444;3;0.000384;0;0.094203;26;0.04668;;
4801;Roger Cook;;43;43;9;0.271549;0.292367;0.004438;0;0.00036;0;0.239203;216;0.061103;;
1441;Stephanie Kusie;;25;25;9;0.266453;0.28762;0.004418;21;0.000209;0;0.233333;70;0.099451;Canada;Conservative
59;Ramkarpal Singh;;7;7;9;0.204494;0.213294;0.004391;4;0.000158;0;0.047619;1;0.00214;Malaysia;Democratic Action Party
2815;Bernard Généreux;;95;95;9;0.25715;0.281891;0.004381;21;0.000734;0;0.276148;1233;0.178845;Canada;Conservative
4674;Paolo Gentiloni;;55;55;10;0.255836;0.278004;0.004378;0;0.000473;0;0.251178;373;0.10442;Italy;
3879;Ska Keller;;36;36;9;0.269087;0.291428;0.004363;11;0.000417;0;0.3;189;0.077916;;
2095;Delegate Marcus B. Simon;;9;9;10;0.217337;0.226067;0.004361;23;0.000303;0;0.083333;3;0.002049;;
2094;Dan Jørgensen;;35;35;9;0.281782;0.300638;0.004358;12;0.000475;0;0.331092;197;0.032099;Denmark;The Social Democratic Party
1074;Sławomir Nitras;;36;36;10;0.264734;0.28764;0.004356;5;0.000532;0;0.236508;149;0.028534;Poland;Klub Parlamentarny Platforma Obywatelska
1684;Bilkay Öney;;45;45;10;0.262033;0.286997;0.004344;0;0.000335;0;0.259596;257;0.185721;;
5646;Tomáš Prouza;;17;17;10;0.210528;0.222984;0.004287;13;0.000372;0;0.139706;19;0.004658;;
4549;Nina Springle, MP;;32;32;9;0.27532;0.295784;0.004267;20;0.000308;0;0.368952;183;0.058371;;
3811;William Hague;;10;10;9;0.248037;0.261258;0.004247;22;0.000205;0;0;0;0.005119;UK;Conservative
2386;Pamela Goldsmith-Jones;;161;161;10;0.254755;0.282814;0.004235;18;0.001233;0;0.150311;1936;0.235659;Canada;Liberal
5627;Kiss László;;4;4;9;0.264627;0.279151;0.004234;17;0.000118;0;0.166667;1;0.007104;;
1744;Gavin Newsom;;21;21;9;0.278895;0.29649;0.004214;23;0.000452;0;0.1;21;0.015334;;
4906;Deputado Federal Alexandre Leite;;31;31;9;0.259694;0.281572;0.004198;14;0.000285;0;0.331183;154;0.158333;;
2322;羅健熙 Lo Kin Hei;;6;6;9;0.265257;0.280142;0.004189;19;0.000123;0;0.333333;5;0.007791;;
218;Amran Hussain;;21;21;8;0.271774;0.287429;0.004144;17;0.000388;0;0.12381;26;0.012636;;
3326;Arun Jaitley;;30;30;10;0.262487;0.281634;0.004091;17;0.000486;0;0.032184;14;0.019534;;
3744;Alexander Graf Lambsdorff;;33;33;9;0.269985;0.293067;0.00409;15;0.00044;0;0.159091;84;0.062942;Germany;Free Democratic Party
4473;Rand Paul;;24;24;9;0.236119;0.250181;0.004071;23;0.000532;0;0.083333;23;0.009044;USA;Republican
71;Governor Jan Brewer;;18;18;9;0.240827;0.255747;0.004058;23;0.000391;0;0.137255;21;0.008826;;
4621;Michelle Bachelet;;14;14;9;0.278974;0.2985;0.004022;8;0.000224;0;0.10989;10;0.016086;;
2777;Roberta Metsola;;41;41;9;0.270554;0.293969;0.004014;5;0.000578;0;0.137805;113;0.038707;;
1597;Sylvie Boucher;;30;30;10;0.232266;0.249807;0.004011;8;0.000328;0;0.381609;166;0.057751;Canada;Conservative
3986;Bartosz Arłukowicz;;48;48;10;0.244819;0.263747;0.004009;19;0.000538;0;0.208333;235;0.036398;Poland;Klub Parlamentarny Platforma Obywatelska
3662;Prasad Panda;;21;21;9;0.275745;0.297107;0.003981;0;0.000168;0;0.295238;62;0.078701;;
3719;Simon Busuttil;;47;47;10;0.265937;0.291073;0.003923;5;0.000641;0;0.12766;138;0.046438;;
1016;Alexis Tsipras;;17;17;9;0.246228;0.260248;0.003919;14;0.000279;0;0.125;17;0.008739;;
2924;Teresa Surita;;15;15;9;0.283323;0.30327;0.003917;10;0.000226;0;0.161905;17;0.020614;;
2723;Bernd Lange;;73;73;9;0.299559;0.327004;0.003907;14;0.000598;0;0.358447;942;0.46955;;
4795;Kirsten Oswald - East Ren;;37;37;9;0.219037;0.232876;0.003894;3;0.000604;0;0.214715;143;0.013639;;
3617;Tobias Hans;;115;115;10;0.26964;0.300884;0.00389;16;0.001285;0;0.09611;630;0.169754;;
2472;Frans Timmermans;;30;30;9;0.276183;0.298135;0.003856;5;0.000421;0;0.202299;88;0.046299;;
3604;Françoise Grossetête;;17;17;10;0.260979;0.284048;0.003852;19;0.00025;0;0.279412;38;0.023048;;
726;Sigmar Gabriel;;150;150;9;0.28462;0.317469;0.003846;14;0.001205;0;0.239016;2671;0.801868;Germany;Social Democratic Party of Germany
5886;Kymberly Marcos Pine;;11;11;9;0.268842;0.284918;0.003841;23;0.000243;0;0.181818;10;0.010352;;
821;Daniel Sieveke MdL;;12;12;9;0.286929;0.308098;0.003815;5;0.000186;0;0.030303;2;0.020571;;
5568;Stephen Gethins MP;;17;17;10;0.241269;0.261793;0.003809;16;0.000219;0;0.080882;11;0.024043;;
4253;Daniel Andrews;;103;103;10;0.263247;0.290671;0.003763;0;0.00071;0;0.231868;1218;0.261183;;
4107;Karmenu Vella;;29;29;9;0.276222;0.297644;0.003758;5;0.000401;0;0.17734;72;0.02868;;
3043;Leni Breymaier;;18;18;9;0.279066;0.299391;0.003756;23;0.0002;0;0.183007;28;0.0952;Germany;Social Democratic Party of Germany
3374;Jean-Charles Luperto;;79;79;9;0.276286;0.302128;0.003754;0;0.000572;0;0.374229;1153;0.26835;;
2017;Paolo Bartolozzi;;37;37;10;0.24124;0.258164;0.003745;2;0.000315;0;0.45045;300;0.031271;;
1172;Alberto Fraga;;33;33;10;0.240523;0.263373;0.003736;10;0.000489;0;0.138258;73;0.024093;;
4299;Ranil Jayawardena MP;;42;42;9;0.224353;0.242988;0.003722;22;0.000936;0;0.134727;116;0.019662;;
2397;Deirdre Clune MEP;;28;28;10;0.255217;0.276864;0.003692;15;0.000447;0;0.18254;69;0.022995;;
3726;Manlio Fabio Beltrones Rivera;;44;44;10;0.242647;0.261369;0.003659;6;0.000655;0;0.151163;143;0.020769;;
2857;Ramón Luis Cruz Burgos;;15;15;9;0.270839;0.288159;0.003656;23;0.000249;0;0.27619;29;0.015468;;
5828;Jean Leonetti;;22;22;10;0.239722;0.25803;0.003643;10;0.000334;0;0.08658;20;0.01376;;
394;Anders Samuelsen;;19;19;10;0.248318;0.262331;0.003626;12;0.000269;0;0.315789;54;0.011781;Denmark;Liberal Alliance
1972;Jo-Ann Miller MP;;57;57;9;0.285004;0.308277;0.003622;0;0.000411;0;0.442356;706;0.169801;Australia;
3680;Rainer Wieland;;107;107;10;0.279383;0.310389;0.00361;16;0.00124;0;0.157644;894;0.182564;;
1257;David Monreal Avila;;7;7;9;0.267454;0.283021;0.003592;6;0.000128;0;0.095238;2;0.00878;;
4324;Stefan Löfven;;14;14;9;0.25207;0.26825;0.003587;12;0.000244;0;0.043956;4;0.019026;;
5317;Joe Biden;;26;26;9;0.282361;0.300846;0.003572;23;0.000546;0;0.076923;25;0.019354;;
4482;Nicola Sturgeon;;40;40;10;0.217002;0.23132;0.003555;3;0.000631;0;0.264103;206;0.015515;;
2406;Franc Bogovič;;30;30;9;0.277298;0.302717;0.003531;16;0.000456;0;0.114943;50;0.046869;;
4447;Gilberto Kassab;;39;39;9;0.240171;0.25848;0.003494;10;0.000634;0;0.026991;20;0.016435;;
2209;Cécile Duflot;;41;41;10;0.261557;0.28378;0.003489;1;0.000365;0;0.243902;200;0.068595;;
4523;Sénateur Pierre-Hugues Boisvenu;;54;54;10;0.25436;0.277025;0.003472;0;0.00037;0;0.374563;536;0.174588;Canada;
1333;Nelson Marchezan Júnior;;51;51;10;0.247082;0.268793;0.003458;10;0.000768;0;0.164706;210;0.032146;;
5376;Christian Goiny, MdA;;19;19;9;0.275385;0.293961;0.003402;26;0.000236;0;0.391813;67;0.019918;;
4698;Marina Silva;;39;39;9;0.241645;0.260417;0.003392;10;0.00061;0;0.094467;70;0.021831;;
3796;Siv Jensen;;5;5;10;0.225837;0.235056;0.003379;5;0.000122;0;0.2;2;0.001683;;
1805;Nils Schmid;;55;55;9;0.267261;0.290912;0.003372;14;0.000463;0;0.313131;465;0.297944;Germany;Social Democratic Party of Germany
4193;Brad Battin MP;;39;39;10;0.240376;0.262068;0.003367;1;0.000305;0;0.5722;424;0.072333;;
5093;Michelle Rowland MP;;106;106;9;0.279701;0.307136;0.003351;0;0.00074;0;0.32345;1800;0.335198;;
3112;John Dingell;;9;9;9;0.267068;0.282174;0.003346;23;0.000229;0;0.083333;3;0.008416;;
4491;Ivan Della Valle;;22;22;10;0.231911;0.247626;0.003308;7;0.000239;0;0.359307;83;0.029;;
4964;Diego Andrade;;27;27;10;0.257061;0.279498;0.003306;14;0.000234;0;0.316239;111;0.165804;;
5578;Natalie Bennett - Green Party candidate for Sheffield Central;;16;16;10;0.250626;0.271888;0.003306;16;0.000209;0;0.125;15;0.023653;;
4693;Anabel Acosta Islas;;26;26;10;0.247238;0.265185;0.003306;6;0.000389;0;0.255385;83;0.014866;;
5748;Elbegdorj Tsakhia;;7;7;9;0.272916;0.288769;0.003296;20;0.000158;0;0.047619;1;0.009938;;
697;Eunício Oliveira;;20;20;10;0.243718;0.262019;0.003286;10;0.000313;0;0.063158;12;0.014733;;
277;Stefan Kaufmann;;104;104;9;0.277963;0.3098;0.003285;16;0.001153;0;0.165795;888;0.189511;Germany;Christian Democratic Union
1456;François Asselineau;;96;96;9;0.25667;0.280499;0.003274;21;0.000753;0;0.23114;1054;0.174154;;
