Id;Label
5722;Pedro Pablo Treviño
3405;Marcela Guerra
303;Alfredo Anaya Orozco
4725;Manuel Cota
3669;Eruviel Ávila
5687;Ramiro Ramos Salinas
634;Martha Tagle
1991;David Penchyna
4876;Alberto Meléndez Apodaca
4697;Omar Fayad
57;Bronisław Komorowski
4254;Anna Wasilewska
4479;Enrico Corongiu
4706;Izabela Katarzyna Mrzygłocka - poseł na Sejm RP
2582;Aleksandra Trybuś - Cieślar
4853;Ewa Kopacz
4516;Elżbieta Łukacijewska
2409;Antonio Hayes
633;Tomasz Siemoniak
1487;Teresa Piotrowska
1821;Poseł RP Paweł Arndt
2972;Rafał Trzaskowski
5618;Joanna Mucha
987;Andrzej Czerwiński
1584;Rafał Grupiński
5647;Artur Gierada
58;Walter Alves
5173;Senador Garibaldi Alves
59;Ramkarpal Singh
2837;מירב בן ארי - Merav Ben Ari
2280;משה כחלון
5759;Avigdor Liberman - אביגדור ליברמן
60;Craig Kelly
2736;Senator James Paterson
1385;Eleni Petinos MP
4632;Dominic Perrottet MP
5168;David Coleman - Member for Banks
5554;Senator Concetta Fierravanti-Wells
3367;Rick Wilson
1025;Peter Dutton
3211;Tony Smith MP - Federal Member for Casey
2948;Marise Payne
3696;Michael McCormack MP
426;Mathias Cormann
1215;Scott Morrison MP - ScoMo
61;Senator James McGrath
3403;Dr. Christos Katzidis
3611;Tim Nicholls MP
2104;Senator Ian Macdonald
541;Larry Maguire
1785;Llew O'Brien MP
3853;Deputy Mayor Adrian Schrinner
4439;Fiona Simpson MP
1836;Boris Johnson
3671;Matt McEachan
3609;Nola Marino MP
5055;Josh Frydenberg
2202;Deb Frecklington MP
3506;Steven Ciobo MP
2522;Marcelo Aro
4815;Senator Nigel Scullion
3108;Ted O'Brien MP - Federal Member for Fairfax
1511;Keith Pitt
2612;Julie Bishop MP
3226;Christopher Pyne
2034;Alan Tudge MP
3329;Stuart Robert
3117;Tim Wilson - Federal Liberal Member for Goldstein
531;Senator Scott Ryan
3094;Kelly O'Dwyer
5321;Senator Mitch Fifield
5357;Senator Michaelia Cash
5108;Andrew Powell
5086;Andrew Robb AO MP
4156;Warren Entsch MP
3321;Michael Hart MP
3452;Dr Christian Rowan MP
4519;Andrew Wallace - LNP Federal Member for Fisher
5420;Ann Sudmalis MP, Federal Member for Gilmore
2168;Jack Dempsey
1540;Ewen Jones
2072;Jane Prentice
779;Barry O’Sullivan
4314;Anna Kinberg Batra
4759;Greg Hunt MP
4205;Warren Truss
62;Fernando Martínez Guerrero
1291;Enrique Alfaro Ramírez
3703;Alberto Esquer
864;Guillermo Medrano
895;Pierre Moscovici
1893;Jean-Luc Bleunven
5512;Juan Mari Aburto
3795;Isabelle Attard
3901;Vincent Peillon
1742;Tarana Halim
2186;Tulip Siddiq
3330;Dr Shirin Sharmin Chaudhury
5091;Md Shahriar Alam MP
64;Sebastian Galmarini
194;Átila Lira
4017;Sergio Massa
1993;Margarita Stolbizer
1583;Malena Massa
5100;Cecilia Moreau
3823;Facundo López Intendente
65;Michele Emiliano
3344;Gianni Pittella
1041;Marcello Pittella
1917;Virginio Merola
4364;Antonio Decaro
5712;Vincenzo De Luca
5905;Maria Elena Boschi
3156;Khalid Chaouki
4558;Silvia Breher
1029;高嘉瑜
67;Liliana Palihovici
4555;Theodor Stolojan
5800;Barack Obama
733;Marian-Jean Marinescu
1824;Vlad Filat
68;Alessandro Zan
351;Monica Cirinnà
1003;Matteo Renzi
4985;Andrea Orlando
3806;Ivan Scalfarotto
4550;Gessica Rostellato - Deputata alla Camera
69;Jacinta Allan
1178;Clare O'Neil MP
1632;Anna Burke
2086;Philip Dalidakis MP
4914;Lily D'Ambrosio MP
5446;Martin Pakula
2764;Mark Gepp MP
5574;Steve Dimopoulos MP for Oakleigh
2558;Gayle Tierney MP
3170;Peta Murphy
1282;Jude Perera
3263;Lars Castellucci
2890;Jane Garrett - Member for Brunswick
1137;Sonya Kilkenny MP
1931;Bronwyn Halfpenny MP
4810;Maree Edwards MP
5779;Danielle Green MP - Member for Yan Yean
3369;Lizzie Blandthorn
108;Jenny Mikakos MP
3162;Tim Pallas
4598;Tim Watts MP
5566;Jennifer Kanis
420;Martin Foley MP
1466;Robin Scott
4293;Ben Carroll MP
4992;Richard Wynne MP
3982;Marsha Thomson
2979;Jill Hennessy MP
2527;Josh Bull MP for Sunbury
4804;Jaala Pulford MP
5065;Vicki Ward MP for Eltham
4253;Daniel Andrews
297;Anthony Carbines MP
416;Ernst Dieter Rossmann
5416;Katarina Barley
5871;Johannes Schraps
5114;Dr. Birgit Malecha-Nissen
1595;Arno Klare MdB
5241;Ulrike Rodust
5212;Ralf Stegner
1414;Christian Petry
2819;Gabriele Hiller-Ohm
726;Sigmar Gabriel
71;Governor Jan Brewer
2711;Governor Chris Christie
5850;Mo Brooks
1199;Paul Ryan
559;Mary Fallin
967;Michele Bachmann
5412;Marco Rubio
397;Mike Huckabee
5413;John Boehner
621;Sarah Palin
4557;Governor Rick Snyder
5394;Bobby Jindal
2306;Joachim B. Olsen
4473;Rand Paul
869;Lloyd Kelso for President
4027;Gary Herbert
72;Steve Georganas
3665;Wayne Swan
3377;Jay Weatherill
5695;David Bradbury
1720;Susan Close MP
2792;Nick Champion MP
1067;Julia Gillard
1796;Kevin Rudd
1675;Senator Glenn Sterle
5817;Senator Lisa Singh
1279;Rob Mitchell MP - Federal Labor Member for McEwen
5885;Deborah O'Neill
2644;Michael Danby
1220;Mike Kelly MP
3374;Jean-Charles Luperto
73;Melanie Bernstein
2949;Petra Nicolaisen
3635;Daniel Günther
74;Stefania Pezzopane
3440;Roberto Giachetti
1366;Sandro Gozi
4678;Rosa Maria Di Giorgi
3127;Laura Boldrini
2960;Alessandra Moretti
688;Debora Serracchiani
4442;Simona Bonafè
3424;Anna Ascani
4813;Emmanuel Macron
5889;Federica Mogherini
4286;Alessia Rotta
5295;Nicola Zingaretti
334;Matteo Orfini
2467;Roberta Pinotti
174;Matteo Richetti
4326;Giorgio Pagliari
5105;Gianni Cuperlo
3231;Sergio Lo Giudice
744;Emanuele Fiano
4966;Valeria Fedeli
2900;Hillary Clinton
5518;Catiuscia Marini
5423;Cécile  Kyenge Kashetu
622;Enrico Letta
3734;Enrico Rossi
4807;Marco Pannella
75;Mary Norwood
2270;Senator Nan Grogan Orrock
76;Carlos Lupi
790;Weverton Rocha
77;Peter Kraus
3352;Rudi Anschober
3478;Peter Pilz
1022;Claudia Gamon
488;Matthias Strolz
4982;Beate Meinl-Reisinger
832;Muna Duzdar
3526;Maria Buchmayr
5434;Gerhard Schick
5209;Bundespräsident a.D. Heinz Fischer
3879;Ska Keller
2105;Jan Philipp Albrecht
2388;Sandra Frauenberger
1484;Julian Schmid
2894;Kai Gehring
2758;Harry Kopietz
1744;Gavin Newsom
4755;Nurten Yilmaz
4517;Alexander Van der Bellen
5901;Maria Vassilakou
3434;Andi Mailath
5686;Ulli Sima
1274;Harald Walser
1197;Christian Kern
2146;Alev Korun
5486;David Stögmüller
3417;Terry Reintke
4471;Niki Scherak
78;Wilson Filho
1201;Romário Faria
5762;Cristiane Brasil
2915;João Arruda - Deputado Federal
79;Jochen Ott
4081;Mariya Gabriel
2929;Christoph Strässer
4032;Niels Annen
2804;Sarah Philipp
5072;Dietmar Nietan
355;Sebastian Hartmann - SPD
210;Wolfgang Hellmich
1453;Frank Müller MdL
3974;Rainer Thiel
2770;Michelle Müntefering
309;Martin Dörmann
1211;Ibrahim Yetim
5582;Karl Lauterbach
2445;Dieter Reiter
5636;Eva-Maria Voigt-Küppers
837;Manuela Schwesig
2801;Martin Börschel
1127;Dirk Wiese
5137;Rolf Mützenich
1359;Ben Wyatt
3257;Destans Jean Louis
4166;Guido Déus
3533;Ralf Jäger
4857;Olaf Scholz
4134;Adrian Delia
5503;Dierk Timm
80;Bajnai Gordon
1314;Szigetvári Viktor
5365;Gyurcsány Ferenc
1633;Szelényi Zsuzsanna
5627;Kiss László
4705;Juhász Péter
81;Michael Leutert
683;Stefan Liebich
4072;Frank Tempel
912;Sven-Christian Kindler
5505;Ralph Lenkert
1102;Jan Korte (MdB)
5290;Rico Gebhardt
4373;Dirk Panter
1434;Gregor Gysi
1341;Tobias Lindner
4763;Nikolas Löbel
82;Luis Alberto Villarreal
5380;Josefina Vázquez Mota
2799;Carlos Canturosas
1615;Miguel Márquez Márquez
3897;Pepe Pasteles
170;José Rosas Aispuro Torres
83;Uwe Schünemann MdL
3620;Michael Vietz
84;謝長廷
5787;姚文智翻台北
578;Karina Adsbøl
5243;陳世凱
1613;林俊憲
5857;李婉鈺的園地
551;吳益政－理想城市高雄市
974;劉建國
1569;趙天麟
2113;Daryl Maguire MP
4488;江聰淵
2439;潘孟安
3320;鍾佳濱
1936;林岱樺
644;台灣阿童─童仲彥
220;下港的囝仔, 蔡金晏
4104;張花冠(小花)縣長
5710;柯建銘
85;Paulo Foletto
2437;Eduardo Cunha
1182;João Fernando Coutinho
5401;REGUFFE - Oficial.
3160;Luiza Erundina
430;Paulo Câmara
4426;Rodrigo Rollemberg
3105;Rodrigo Maia
507;Janete Capiberibe
5874;Dr. Jorge Silva
5644;Aécio Neves
4934;Renato Casagrande
5491;Eduardo Campos
5085;Michel Temer
4760;Fernando Filho
919;Lídice da Mata
86;Jakob von Weizsäcker
5124;Steffen-Claudio Lemme
3441;Kerstin Westphal
2059;Michael Roth
2738;Sylvia-Yvonne Kaufmann
1043;Carsten Schneider
5277;Maria Noichl,  SPD-Europaabgeordnete
1371;Iris Gleicke
3306;Birgit Sippel
4341;Ismail Ertug
2723;Bernd Lange
87;Jayant Sinha
2615;Rajnath Singh
4395;Narendra Modi
3442;Raghubar Das
3326;Arun Jaitley
3389;Piyush Goyal
1806;Marie Montpetit, députée de Crémazie
4579;Paolo Bernini
90;Brian Gallant
3386;Serge Cormier, Député/M.P.
2422;Ginette Petitpas Taylor
5633;Matt DeCourcey
109;Karen Ludwig
1148;Stephen McNeil
91;Pierre Nantel, Député de Longueuil―Saint-Hubert
3857;Hoang Mai
3484;Alexandre Boulerice NPD Rosemont - La Petite-Patrie
1562;Romeo Saganash
2107;Tom Mulcair
784;Marjolaine Boutin-Sweet
100;Ruth Ellen Brosseau
951;Laurin Liu, Candidate NPD, RDMI
525;Glenn Thibeault
127;Matthew Dubé
3012;Christine Moore Députée NPD Abitibi-Témiscamingue
5098;Guy Caron
1973;Catherine Fournier
3593;Peggy Nash
4728;Hélène Laverdière NPD Laurier/Ste-Marie
92;Horacio Rodríguez Larreta
648;Patricia Bullrich
3985;Agustín Garzón
630;María Eugenia Vidal
3421;Nestor Grindetti
2354;Francisco Quintana
867;Lucas Delfino
1790;Guadalupe Tagliaferri
4391;Alex Campbell
2108;CM Madhya Pradesh
3171;Nityanand Rai
4690;Fernando de Andreis
4791;MARIANA ZUVIC
565;Esteban Bullrich
3619;Wanda Soler (Oficial)
2908;Francisco Cabrera
1284;Federico Salvai
1604;Piter Robledo
2204;Patricio Di Stefano
1259;Manuel Mosca
2910;Emilio Monzó
1306;Segundo Cernadas
1597;Sylvie Boucher
5337;Emilio Basavilbaso
1005;Ezequiel Fernandez Langan
5024;Nicolas Ducote
2088;Gabriela Michetti
4670;Diego Santilli
4780;Martín Ocampo
1908;Paula Bertol
3881;Florin Oancea
3307;Gisela Scaglia
3841;Norbert Kartmann
1332;Ramiro Tagliaferro
859;Claudio Avruj
2398;立法委員 陳宜民
4070;Jorge Triaca
2973;Senator David Fawcett
5514;Omar De Marchi
3884;Eduardo Cáceres
2190;Seán Sherlock TD
